h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1688197320,NaN,NaN,2
1688197380,NaN,2.000e-01,2
1688197440,NaN,2.000e-01,2
1688197500,NaN,2.000e-01,2
1688197560,NaN,2.000e-01,2
1688197620,NaN,2.000e-01,2
1688197680,NaN,NaN,2
1688197740,NaN,NaN,1
1688197800,NaN,NaN,1
1688197860,NaN,NaN,1
1688197920,NaN,NaN,1
1688197980,7.230e-01,NaN,1
1688198040,7.550e-01,NaN,1
1688198100,8.020e-01,NaN,1
1688198160,8.740e-01,NaN,1
1688198220,8.780e-01,NaN,1
1688198280,NaN,NaN,1
1688198340,NaN,NaN,2
1688198400,NaN,NaN,2
1688198460,NaN,NaN,2
1688198520,NaN,NaN,2
1688198580,NaN,2.000e-01,2
1688198640,NaN,2.000e-01,2
1688198700,NaN,2.000e-01,2
1688198760,NaN,2.000e-01,2
1688198820,NaN,2.000e-01,2
1688198880,NaN,NaN,2
1688198940,NaN,NaN,1
1688199000,NaN,NaN,1
1688199060,NaN,NaN,1
1688199120,NaN,NaN,1
1688199180,7.700e-01,NaN,1
1688199240,6.960e-01,NaN,1
1688199300,5.950e-01,NaN,1
1688199360,4.960e-01,NaN,1
1688199420,4.770e-01,NaN,1
1688199480,NaN,NaN,1
1688199540,NaN,NaN,2
1688199600,NaN,NaN,2
1688199660,NaN,NaN,2
1688199720,NaN,NaN,2
1688199780,NaN,2.000e-01,2
1688199840,NaN,2.000e-01,2
1688199900,NaN,2.000e-01,2
1688199960,NaN,2.000e-01,2
1688200020,NaN,2.000e-01,2
1688200080,NaN,NaN,2
1688200140,NaN,NaN,1
1688200200,NaN,NaN,1
1688200260,NaN,NaN,1
1688200320,NaN,NaN,1
1688200380,4.060e-01,NaN,1
1688200440,2.000e-01,NaN,1
1688200500,4.090e-01,NaN,1
1688200560,4.200e-01,NaN,1
1688200620,4.580e-01,NaN,1
1688200680,NaN,NaN,1
1688200740,NaN,NaN,2
1688200800,NaN,NaN,2
1688200860,NaN,NaN,2
1688200920,NaN,NaN,2
1688200980,NaN,2.000e-01,2
1688201040,NaN,2.000e-01,2
1688201100,NaN,2.000e-01,2
1688201160,NaN,2.000e-01,2
1688201220,NaN,2.000e-01,2
1688201280,NaN,NaN,2
1688201340,NaN,NaN,1
1688201400,NaN,NaN,1
1688201460,NaN,NaN,1
1688201520,NaN,NaN,1
1688201580,6.200e-01,NaN,1
1688201640,6.640e-01,NaN,1
1688201700,6.980e-01,NaN,1
1688201760,7.530e-01,NaN,1
1688201820,7.660e-01,NaN,1
1688201880,NaN,NaN,1
1688201940,NaN,NaN,2
1688202000,NaN,NaN,2
1688202060,NaN,NaN,2
1688202120,NaN,NaN,2
1688202180,NaN,2.000e-01,2
1688202240,NaN,2.000e-01,2
1688202300,NaN,2.000e-01,2
1688202360,NaN,2.000e-01,2
1688202420,NaN,2.000e-01,2
1688202480,NaN,NaN,2
1688202540,NaN,NaN,1
1688202600,NaN,NaN,1
1688202660,NaN,NaN,1
1688202720,NaN,NaN,1
1688202780,9.080e-01,NaN,1
1688202840,9.760e-01,NaN,1
1688202900,1.035e+00,NaN,1
1688202960,1.092e+00,NaN,1
1688203020,1.111e+00,NaN,1
1688203080,NaN,NaN,1
1688203140,NaN,NaN,2
1688203200,NaN,NaN,2
1688203260,NaN,NaN,2
1688203320,NaN,NaN,2
1688203380,NaN,2.000e-01,2
1688203440,NaN,2.000e-01,2
1688203500,NaN,2.000e-01,2
1688203560,NaN,4.010e-01,2
1688203620,NaN,4.390e-01,2
1688203680,NaN,NaN,2
1688203740,NaN,NaN,1
1688203800,NaN,NaN,1
1688203860,NaN,NaN,1
1688203920,NaN,NaN,1
1688203980,1.088e+00,NaN,1
1688204040,1.085e+00,NaN,1
1688204100,1.102e+00,NaN,1
1688204160,1.072e+00,NaN,1
1688204220,1.081e+00,NaN,1
1688204280,NaN,NaN,1
1688204340,NaN,NaN,2
1688204400,NaN,NaN,2
1688204460,NaN,NaN,2
1688204520,NaN,NaN,2
